% Model:              Tmax38_Nu_0.9.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 16 2017, 10:58
% Dimension:          2
% Nodes:              4413
% Expressions:        5
% Description:        Velocity field, r component, Velocity field, z component, Temperature, Dependent variable S, Vorticity field, phi component
% Length unit:        m
% r                       z                        u @ t=0.085              w @ t=0.085              T @ t=0.085              S @ t=0.085              spf.vorticityphi @ t=0.085
0.38                      0.8772727272727288       5.979560754278886        -0.20114818951145816     -0.07253569449510297     0.6742347302975702       -249.3965205077451
0.36000000000000004       0.877272727272729        5.877892975178163        -0.16438050125245754     -0.07023109491145729     0.6757036083095864       -229.02941430333726
0.33999999999999997       0.8772727272727285       5.73782180536781         -0.13187503097038933     -0.06811031354908403     0.6770554862627715       -210.5447669815226
0.31999999999999995       0.8772727272727285       5.561596337795413        -0.10428564198317378     -0.06616080528841474     0.6782980833404445       -193.60691713731623
0.29999999999999993       0.8772727272727285       5.351048473054846        -0.08192130649679437     -0.06437162780385244     0.6794381087577738       -177.8805862377272
0.27999999999999997       0.8772727272727283       5.108322498136515        -0.06473120990035935     -0.0627333439683133      0.6804813440938012       -163.07107637353963
0.25999999999999995       0.8772727272727285       4.836166072619185        -0.0522710353508279      -0.06123784344603868     0.6814328103733588       -148.95511603301438
0.2399999999999999        0.8772727272727283       4.537946785255832        -0.043830291478652555    -0.05987814379211641     0.6822969160459151       -135.3635368420865
0.21999999999999992       0.8772727272727281       4.217444388515445        -0.03858983805512384     -0.05864819977081028     0.6830775503822963       -122.17393091364264
0.19999999999999993       0.8772727272727281       3.878415350567589        -0.035581026076252444    -0.05754273466828498     0.6837781837229648       -109.35087926515932
0.17999999999999997       0.8772727272727281       3.524263149503346        -0.03373146464902701     -0.05655709706548262     0.6844019868142575       -96.93277176245276
0.15999999999999998       0.8772727272727281       3.1579537607564805       -0.03217903642812695     -0.05568714154979263     0.6849518948481824       -84.94453219044408
0.13999999999999999       0.8772727272727281       2.781964367452609        -0.030469061054361854    -0.05492913680482185     0.6854305807782078       -73.36014950279377
0.11999999999999995       0.8772727272727278       2.39820275454836         -0.028478827140291384    -0.05427970821350171     0.6858404257201409       -62.14601490990729
